pc_time,ms,time_s,current_a,thrust_g,raw_line
2026-03-28T16:44:32,592166,592.166,0.634,,"592166,1896,1.528,0.634,411551,NA"
2026-03-28T16:44:32,592266,592.266,0.633,8.22,"592266,1896,1.528,0.633,411554,8.22"
2026-03-28T16:44:32,592366,592.366,0.63,,"592366,1896,1.528,0.630,411418,NA"
2026-03-28T16:44:32,592486,592.486,0.63,,"592486,1896,1.528,0.630,411173,NA"
2026-03-28T16:44:32,592626,592.626,0.628,7.18,"592626,1895,1.528,0.628,411124,7.18"
2026-03-28T16:44:32,592726,592.726,0.625,,"592726,1895,1.528,0.625,411055,NA"
2026-03-28T16:44:32,592826,592.826,0.626,6.65,"592826,1895,1.528,0.626,410905,6.65"
2026-03-28T16:44:33,592926,592.926,0.627,,"592926,1895,1.528,0.627,411016,NA"
2026-03-28T16:44:33,593066,593.066,0.628,6.63,"593066,1895,1.528,0.628,410896,6.63"
2026-03-28T16:44:33,593186,593.186,0.628,6.94,"593186,1895,1.528,0.628,411026,6.94"
2026-03-28T16:44:33,593286,593.286,0.627,,"593286,1895,1.528,0.627,411111,NA"
2026-03-28T16:44:33,593406,593.406,0.628,,"593406,1895,1.528,0.628,411000,NA"
2026-03-28T16:44:33,593546,593.546,0.63,6.32,"593546,1896,1.528,0.630,410768,6.32"
2026-03-28T16:44:33,593646,593.646,0.63,,"593646,1896,1.528,0.630,410951,NA"
2026-03-28T16:44:33,593746,593.746,0.632,6.9,"593746,1896,1.528,0.632,411010,6.90"
2026-03-28T16:44:33,593846,593.846,0.633,,"593846,1896,1.528,0.633,410959,NA"
2026-03-28T16:44:34,593966,593.966,0.634,,"593966,1896,1.528,0.634,410959,NA"
2026-03-28T16:44:34,594106,594.106,0.633,6.94,"594106,1896,1.528,0.633,411025,6.94"
2026-03-28T16:44:34,594206,594.206,0.632,,"594206,1896,1.528,0.632,411167,NA"
2026-03-28T16:44:34,594306,594.306,0.633,7.58,"594306,1896,1.528,0.633,411291,7.58"
2026-03-28T16:44:34,594406,594.406,0.635,,"594406,1896,1.528,0.635,411356,NA"
2026-03-28T16:44:34,594546,594.546,0.635,8.21,"594546,1896,1.528,0.635,411548,8.21"
2026-03-28T16:44:34,594666,594.666,0.634,8.45,"594666,1896,1.528,0.634,411651,8.45"
2026-03-28T16:44:34,594766,594.766,0.631,,"594766,1896,1.528,0.631,411697,NA"
2026-03-28T16:44:35,594886,594.886,0.629,,"594886,1895,1.528,0.629,411622,NA"
2026-03-28T16:44:35,595026,595.026,0.629,7.19,"595026,1895,1.528,0.629,411128,7.19"
2026-03-28T16:44:35,595126,595.126,0.631,,"595126,1896,1.528,0.631,410865,NA"
2026-03-28T16:44:35,595226,595.226,0.631,6.69,"595226,1896,1.528,0.631,410922,6.69"
2026-03-28T16:44:35,595326,595.326,0.629,,"595326,1895,1.528,0.629,411042,NA"
2026-03-28T16:44:35,595446,595.446,0.625,,"595446,1895,1.528,0.625,410964,NA"
2026-03-28T16:44:35,595586,595.586,0.624,6.91,"595586,1895,1.528,0.624,411012,6.91"
2026-03-28T16:44:35,595686,595.686,0.626,,"595686,1895,1.528,0.626,411222,NA"
2026-03-28T16:44:35,595786,595.786,0.629,7.96,"595786,1895,1.528,0.629,411446,7.96"
2026-03-28T16:44:36,595886,595.886,0.625,,"595886,1895,1.528,0.625,411630,NA"
2026-03-28T16:44:36,596026,596.026,0.627,8.14,"596026,1895,1.528,0.627,411519,8.14"
2026-03-28T16:44:36,596146,596.146,0.631,7.64,"596146,1896,1.528,0.631,411313,7.64"
