condition,speed_pct,samples_used_total,current_A_display,current_A_sd,thrust_g_display,thrust_g_sd,power_W_display,power_W_sd,efficiency_g_per_A_display,efficiency_g_per_W_display,thrust_peak_g_max
Without dome,20,213,0.916 ± 0.001 A,0.018,11.46 ± 0.25 g,2.09,10.169 ± 0.012 W,0.196,12.51 ± 0.27 g/A,1.13 ± 0.02 g/W,13.14
Without dome,30,213,1.475 ± 0.004 A,0.060,48.02 ± 1.01 g,8.48,16.372 ± 0.042 W,0.666,32.56 ± 0.68 g/A,2.93 ± 0.06 g/W,53.0
Without dome,40,212,2.320 ± 0.009 A,0.139,105.16 ± 2.18 g,18.14,25.747 ± 0.097 W,1.542,45.34 ± 0.94 g/A,4.08 ± 0.08 g/W,114.19
Without dome,50,212,3.556 ± 0.033 A,0.531,171.94 ± 4.03 g,33.45,39.468 ± 0.369 W,5.896,48.36 ± 1.03 g/A,4.36 ± 0.09 g/W,182.59
Without dome,60,213,4.878 ± 0.024 A,0.383,249.37 ± 4.89 g,40.59,54.143 ± 0.268 W,4.255,51.13 ± 0.94 g/A,4.61 ± 0.08 g/W,277.22
Without dome,70,212,6.921 ± 0.040 A,0.634,336.23 ± 6.78 g,56.75,76.826 ± 0.444 W,7.032,48.58 ± 0.92 g/A,4.38 ± 0.08 g/W,361.67
With dome gina,20,212,0.871 ± 0.001 A,0.017,9.73 ± 0.30 g,2.54,9.663 ± 0.012 W,0.191,11.17 ± 0.35 g/A,1.01 ± 0.03 g/W,15.31
With dome gina,30,212,1.401 ± 0.006 A,0.099,44.38 ± 1.16 g,9.64,15.548 ± 0.069 W,1.099,31.68 ± 0.83 g/A,2.85 ± 0.07 g/W,57.05
With dome gina,40,212,2.193 ± 0.012 A,0.194,88.86 ± 2.54 g,21.12,24.337 ± 0.137 W,2.156,40.53 ± 1.15 g/A,3.65 ± 0.10 g/W,122.84
With dome gina,50,213,3.342 ± 0.019 A,0.301,126.03 ± 2.81 g,23.36,37.101 ± 0.212 W,3.342,37.70 ± 0.82 g/A,3.40 ± 0.07 g/W,144.58
With dome gina,60,212,4.671 ± 0.038 A,0.610,171.54 ± 4.22 g,35.28,51.851 ± 0.425 W,6.774,36.72 ± 0.86 g/A,3.31 ± 0.08 g/W,188.45
With dome gina,70,212,6.771 ± 0.050 A,0.801,246.94 ± 5.92 g,49.50,75.155 ± 0.559 W,8.895,36.47 ± 0.85 g/A,3.29 ± 0.08 g/W,271.15
With dome Saipan,20,211,0.920 ± 0.001 A,0.016,5.50 ± 0.11 g,0.89,10.210 ± 0.012 W,0.182,5.98 ± 0.12 g/A,0.54 ± 0.01 g/W,5.97
With dome Saipan,30,212,1.364 ± 0.003 A,0.049,20.70 ± 0.40 g,3.39,15.140 ± 0.034 W,0.541,15.17 ± 0.29 g/A,1.37 ± 0.03 g/W,22.18
With dome Saipan,40,211,2.272 ± 0.012 A,0.197,49.75 ± 0.90 g,7.56,25.222 ± 0.137 W,2.190,21.90 ± 0.40 g/A,1.97 ± 0.04 g/W,54.3
With dome Saipan,50,212,3.340 ± 0.014 A,0.227,79.58 ± 1.55 g,12.93,37.069 ± 0.159 W,2.518,23.83 ± 0.39 g/A,2.15 ± 0.04 g/W,86.99
With dome Saipan,60,212,4.685 ± 0.042 A,0.662,120.73 ± 2.37 g,19.80,52.008 ± 0.461 W,7.350,25.77 ± 0.44 g/A,2.32 ± 0.04 g/W,125.09
With dome Saipan,70,211,6.868 ± 0.051 A,0.805,181.31 ± 3.45 g,28.90,76.236 ± 0.561 W,8.935,26.40 ± 0.45 g/A,2.38 ± 0.04 g/W,188.89
With dome Saipan 1,20,211,0.989 ± 0.005 A,0.073,5.66 ± 0.12 g,0.98,10.979 ± 0.052 W,0.814,5.72 ± 0.12 g/A,0.52 ± 0.01 g/W,6.23
With dome Saipan 1,30,211,1.448 ± 0.009 A,0.147,23.89 ± 0.57 g,4.77,16.073 ± 0.103 W,1.634,16.49 ± 0.39 g/A,1.49 ± 0.03 g/W,24.59
With dome Saipan 1,40,211,2.220 ± 0.007 A,0.117,56.76 ± 1.25 g,10.42,24.647 ± 0.082 W,1.295,25.56 ± 0.55 g/A,2.30 ± 0.05 g/W,64.93
With dome Saipan 1,50,211,3.299 ± 0.014 A,0.217,103.88 ± 2.02 g,16.92,36.620 ± 0.152 W,2.411,31.49 ± 0.59 g/A,2.84 ± 0.05 g/W,106.69
With dome Saipan 1,60,228,4.532 ± 0.026 A,0.418,149.07 ± 2.98 g,24.93,50.300 ± 0.292 W,4.638,32.90 ± 0.62 g/A,2.96 ± 0.06 g/W,156.25
With dome Saipan 1,70,211,6.374 ± 0.070 A,1.115,203.14 ± 5.02 g,41.69,70.747 ± 0.777 W,12.381,31.87 ± 0.74 g/A,2.87 ± 0.07 g/W,212.93
