ms,raw,v,currentA,lc_raw,lc_grams
96899,1881,1.516,0.882,-350209,3.09
97093,1881,1.516,0.879,-350153,2.96
97383,1881,1.516,0.879,-350129,2.91
97576,1881,1.516,0.879,-350181,3.02
97766,1880,1.516,0.877,-350148,2.95
97991,1880,1.516,0.875,-350075,2.79
98219,1880,1.516,0.874,-350059,2.75
98413,1880,1.515,0.87,-350083,2.8
98661,1880,1.515,0.867,-350112,2.87
98787,1880,1.515,0.859,-350136,
98926,1879,1.515,0.854,-350069,2.77
99147,1879,1.515,0.852,-350084,2.81
99377,1879,1.515,0.851,-350125,2.9
99594,1879,1.515,0.85,-350117,2.88
99746,1879,1.515,0.847,-350145,2.94
99973,1879,1.515,0.848,-350099,2.84
100231,1879,1.515,0.847,-350156,2.97
100451,1879,1.515,0.846,-350113,2.87
100586,1879,1.514,0.842,-350058,2.75
100807,1878,1.514,0.838,-350126,2.9
101022,1879,1.515,0.852,-350107,2.86
101210,1880,1.515,0.867,-350102,2.85
101346,1881,1.516,0.895,-350130,2.91
101564,1881,1.516,0.894,-350163,2.98
101788,1881,1.516,0.886,-350115,2.88
101984,1881,1.516,0.882,-350118,2.88
102168,1881,1.516,0.879,-350097,2.84
102287,1880,1.515,0.87,-350099,
102514,1880,1.515,0.867,-350121,2.89
102742,1880,1.515,0.864,-350094,2.83
102934,1880,1.515,0.864,-350168,2.99
103130,1880,1.515,0.865,-350114,2.87
103359,1880,1.515,0.865,-350160,2.98
103587,1880,1.515,0.862,-350164,2.99
103845,1880,1.515,0.862,-350148,2.95
104042,1880,1.515,0.863,-350120,2.89
104328,1880,1.515,0.863,-350103,2.85
104524,1880,1.515,0.863,-350130,2.91
104720,1880,1.515,0.86,-350131,2.91
104980,1879,1.515,0.858,-350162,2.98
105206,1879,1.515,0.856,-350136,2.92
105399,1879,1.515,0.854,-350079,2.8
105622,1879,1.515,0.853,-350114,2.87
105726,1879,1.515,0.85,-350097,2.84
105966,1879,1.515,0.849,-350097,
106161,1879,1.515,0.848,-350094,2.83
106316,1879,1.514,0.845,-350146,2.95
106466,1879,1.514,0.84,-350161,2.98
106566,1878,1.514,0.836,-350124,2.9
106819,1879,1.515,0.85,-350096,2.83
107067,1880,1.515,0.861,-350094,2.83
107287,1879,1.515,0.855,-350115,2.88
107542,1879,1.515,0.851,-350099,2.84
107800,1879,1.514,0.846,-350144,2.94
108028,1879,1.514,0.843,-350085,2.81
108253,1879,1.514,0.841,-350136,2.92
108477,1879,1.514,0.843,-350090,2.82
108701,1879,1.514,0.842,-350075,2.79
108924,1879,1.514,0.842,-350127,2.9
109151,1879,1.514,0.844,-350141,2.93
109373,1879,1.514,0.843,-350153,2.96
109598,1879,1.514,0.843,-350099,2.84
109856,1879,1.514,0.842,-350136,2.92
110112,1879,1.514,0.842,-350114,2.87
110309,1879,1.514,0.84,-350152,2.96
110536,1879,1.514,0.84,-350138,2.93
110761,1879,1.514,0.839,-350070,2.78
110991,1879,1.514,0.839,-350108,2.86
111217,1879,1.514,0.839,-350180,3.02
111415,1879,1.514,0.841,-350108,2.86
111644,1879,1.514,0.843,-350102,2.85
111871,1879,1.514,0.845,-350156,2.97
112100,1879,1.515,0.846,-350154,2.96
112294,1880,1.515,0.859,-350155,2.97
112513,1880,1.516,0.871,-350055,2.74
112697,1881,1.516,0.882,-350101,2.84
112941,1881,1.516,0.892,-350138,2.93
113159,1881,1.516,0.885,-350046,2.72
113419,1880,1.516,0.876,-350191,3.05
113681,1880,1.515,0.866,-350157,2.97
113910,1879,1.515,0.856,-350188,3.04
114111,1879,1.515,0.848,-350171,3.0
114371,1879,1.514,0.841,-350141,2.93
114633,1878,1.514,0.835,-350153,2.96
114895,1878,1.514,0.829,-350148,2.95
115122,1878,1.514,0.824,-350141,2.93
115388,1878,1.513,0.819,-350169,3.0
115616,1877,1.513,0.815,-350107,2.86
115875,1877,1.513,0.812,-350195,3.05
116071,1877,1.513,0.808,-350047,2.72
116269,1877,1.513,0.807,-350123,2.89
116494,1877,1.513,0.804,-350139,2.93
116722,1877,1.513,0.804,-350145,2.94
116918,1877,1.513,0.801,-350105,2.85
117175,1877,1.513,0.801,-350100,2.84
117400,1877,1.513,0.799,-350081,2.8
117662,1877,1.513,0.799,-350085,2.81
117921,1876,1.512,0.795,-350111,2.87
118119,1876,1.512,0.793,-350218,3.11
118367,1877,1.513,0.806,-350098,2.84
118589,1877,1.513,0.817,-350073,2.78
118843,1877,1.513,0.813,-350185,3.03
119100,1877,1.513,0.812,-350068,2.77
119329,1877,1.513,0.808,-350086,2.81
119528,1877,1.513,0.807,-350103,2.85
119785,1877,1.513,0.811,-350093,2.83
120016,1877,1.513,0.815,-350083,2.8
120218,1878,1.513,0.82,-350126,2.9
120445,1878,1.514,0.822,-350193,3.05
120710,1878,1.514,0.825,-350162,2.98
120944,1878,1.514,0.829,-350155,2.97
121140,1878,1.514,0.824,-350205,3.08
121372,1877,1.513,0.815,-350043,2.72
121604,1877,1.513,0.818,-350120,2.89
121990,1878,1.513,0.82,-350121,2.89
122191,1878,1.514,0.822,-350131,2.91
122417,1878,1.514,0.821,-350121,2.89
122615,1878,1.513,0.821,-350099,2.84
122866,1878,1.514,0.823,-350127,2.9
123123,1878,1.514,0.822,-350141,2.93
123382,1878,1.514,0.824,-350077,2.79
123610,1878,1.514,0.826,-350125,2.9
123827,1879,1.514,0.841,-350043,2.72
124021,1879,1.515,0.855,-350124,2.9
124237,1880,1.515,0.867,-350082,2.8
124426,1880,1.516,0.879,-349944,2.49
124676,1880,1.516,0.873,-349911,2.42
125085,1880,1.515,0.869,-349553,1.62
125312,1880,1.515,0.866,-350082,2.8
125536,1880,1.515,0.863,-349826,2.23
125791,1880,1.515,0.861,-349393,1.26
125992,1879,1.515,0.859,-350110,2.86
126217,1879,1.515,0.857,-350136,2.92
126475,1879,1.515,0.857,-350120,2.89
126918,1879,1.515,0.857,-350119,2.88
127325,1879,1.515,0.857,-350174,3.01
127582,1880,1.515,0.86,-350164,2.99
127839,1880,1.515,0.861,-350142,2.94
128093,1880,1.515,0.865,-350121,2.89
128317,1880,1.515,0.867,-350104,2.85
128571,1880,1.515,0.868,-350086,2.81
128764,1880,1.515,0.867,-350136,2.92
128958,1880,1.515,0.866,-350095,2.83
129182,1880,1.515,0.867,-350151,2.96
129438,1880,1.515,0.869,-350123,2.89
129691,1881,1.516,0.882,-350158,2.97
129938,1881,1.516,0.896,-350196,3.06
130247,1882,1.517,0.906,-350120,2.89
130434,1882,1.517,0.917,-350068,2.77
130658,1882,1.517,0.912,-350188,3.04
130882,1882,1.517,0.908,-350123,2.89
131142,1882,1.517,0.903,-350105,2.85
131368,1882,1.517,0.901,-350144,2.94
131563,1881,1.517,0.899,-350114,2.87
131790,1881,1.517,0.897,-350061,2.76
132047,1881,1.516,0.895,-350153,2.96
132300,1881,1.516,0.895,-350059,2.75
132525,1881,1.516,0.894,-350107,2.86
132721,1881,1.516,0.894,-350101,2.84
133007,1881,1.516,0.895,-350134,2.92
133173,1881,1.516,0.895,-350108,2.86
133400,1881,1.517,0.898,-350182,3.03
133591,1881,1.517,0.898,-350135,2.92
133817,1881,1.517,0.898,-350141,2.93
134047,1881,1.517,0.898,-350187,3.04
134244,1881,1.517,0.898,-350158,2.97
134503,1882,1.517,0.902,-350173,3.01
134758,1882,1.517,0.904,-350110,2.86
134950,1882,1.517,0.906,-350076,2.79
135238,1882,1.517,0.907,-350128,2.9
135430,1882,1.517,0.906,-350225,3.12
135682,1883,1.518,0.922,-350172,3.0
136046,1883,1.518,0.936,-350153,2.96
136205,1883,1.518,0.934,-350120,2.89
136459,1883,1.518,0.932,-350146,2.95
136686,1883,1.518,0.933,-350127,2.9
136914,1883,1.518,0.932,-350183,3.03
137108,1883,1.518,0.933,-350109,2.86
137366,1883,1.518,0.931,-350142,2.94
137591,1883,1.518,0.93,-350184,3.03
137818,1883,1.518,0.929,-350197,3.06
138020,1883,1.518,0.928,-350184,3.03
138279,1883,1.518,0.927,-350225,3.12
138504,1883,1.518,0.928,-350071,2.78
138697,1883,1.518,0.93,-350210,3.09
138918,1883,1.518,0.931,-350152,2.96
139143,1883,1.518,0.931,-350124,2.9
139332,1883,1.518,0.932,-350194,3.05
139587,1883,1.518,0.931,-350145,2.94
139778,1883,1.518,0.932,-350130,2.91
140003,1883,1.518,0.931,-350159,2.97
140291,1883,1.518,0.933,-350064,2.76
140458,1883,1.518,0.932,-350104,2.85
140652,1883,1.518,0.933,-350153,2.96
140911,1883,1.518,0.931,-350209,3.09
141137,1884,1.518,0.942,-350162,2.98
141327,1884,1.519,0.952,-350222,3.11
141543,1885,1.519,0.963,-350197,3.06
141731,1885,1.519,0.971,-350163,2.98
141922,1885,1.519,0.962,-350188,3.04
142173,1884,1.519,0.959,-350101,2.84
142400,1884,1.519,0.957,-350183,3.03
142655,1884,1.519,0.956,-350124,2.9
142882,1884,1.519,0.954,-350199,3.06
143106,1884,1.519,0.953,-350176,3.01
143331,1884,1.519,0.951,-350144,2.94
143558,1884,1.519,0.95,-350132,2.91
143747,1884,1.519,0.949,-350159,2.97
143970,1884,1.519,0.946,-350115,2.88
144168,1884,1.518,0.945,-350153,2.96
144357,1884,1.519,0.947,-350143,2.94
144549,1884,1.519,0.946,-350066,2.77
144840,1884,1.519,0.947,-350150,2.95
145033,1884,1.519,0.947,-350131,2.91
145292,1884,1.519,0.948,-350082,2.8
145583,1884,1.519,0.947,-350086,2.81
145842,1884,1.519,0.946,-350099,2.84
146068,1884,1.518,0.946,-350196,3.06
146323,1884,1.518,0.945,-350168,2.99
146544,1884,1.518,0.943,-350123,2.89
146764,1884,1.518,0.942,-350116,2.88
146957,1884,1.518,0.942,-350239,3.15
147116,1884,1.518,0.942,-350193,3.05
147333,1884,1.519,0.954,-350131,2.91
147551,1884,1.519,0.954,-350119,2.88
147775,1884,1.519,0.951,-350126,2.9
148003,1884,1.519,0.95,-350121,2.89
148193,1884,1.519,0.951,-350098,2.84
148449,1884,1.519,0.952,-350152,2.96
148673,1884,1.519,0.95,-350144,2.94
148932,1884,1.519,0.949,-350156,2.97
149158,1884,1.519,0.948,-350186,3.03
149382,1884,1.518,0.943,-350137,2.93
149543,1884,1.518,0.941,-350144,2.94
149771,1883,1.518,0.939,-350217,3.1
149995,1883,1.518,0.937,-350104,2.85
150186,1883,1.518,0.937,-350137,2.93
150409,1883,1.518,0.935,-350173,3.01
150630,1883,1.518,0.934,-350084,2.81
150828,1883,1.518,0.93,-350084,2.81
151027,1883,1.518,0.931,-350165,2.99
151287,1883,1.518,0.932,-350119,2.88
151512,1883,1.518,0.933,-350138,2.93
151742,1883,1.518,0.934,-350132,2.91
151937,1883,1.518,0.934,-350081,2.8
152166,1883,1.518,0.937,-350199,3.06
152394,1883,1.518,0.937,-350124,2.9
152590,1884,1.519,0.955,-350108,2.86
152834,1885,1.519,0.966,-350164,2.99
153049,1884,1.519,0.959,-350190,3.04
153307,1884,1.519,0.957,-350106,2.86
153509,1884,1.519,0.955,-350109,2.86
153733,1884,1.519,0.954,-350022,2.67
154025,1884,1.519,0.952,-350132,2.91
154249,1884,1.519,0.949,-350108,2.86
154506,1884,1.519,0.946,-350113,2.87
154768,1884,1.518,0.946,-350114,2.87
154995,1884,1.518,0.945,-350052,2.74
155223,1884,1.518,0.944,-350060,2.75
155446,1884,1.518,0.944,-350151,2.96
155642,1883,1.518,0.939,-350132,2.91
155899,1883,1.518,0.937,-350125,2.9
156129,1883,1.518,0.938,-350086,2.81
156418,1883,1.518,0.936,-350044,2.72
156646,1883,1.518,0.934,-350165,2.99
156875,1883,1.518,0.935,-350107,2.86
157098,1883,1.518,0.933,-350131,2.91
157322,1883,1.518,0.934,-350163,2.98
157576,1883,1.518,0.934,-350092,2.82
157834,1883,1.518,0.935,-350128,2.9
158056,1883,1.518,0.933,-350063,2.76
158248,1884,1.519,0.946,-350090,2.82
158435,1884,1.519,0.955,-350121,2.89
158694,1884,1.519,0.952,-350033,2.69
158981,1884,1.519,0.949,-350052,2.74
159177,1884,1.519,0.948,-350124,2.9
159433,1884,1.519,0.949,-350039,2.71
159661,1884,1.519,0.948,-350104,2.85
159923,1884,1.519,0.949,-350099,2.84
160151,1884,1.519,0.948,-350169,3.0
160384,1884,1.519,0.947,-350082,2.8
160613,1884,1.519,0.947,-350115,2.88
160842,1884,1.519,0.948,-350084,2.81
161038,1884,1.519,0.949,-350121,2.89
161268,1884,1.519,0.948,-350096,2.83
161495,1884,1.519,0.949,-350083,2.8
161754,1884,1.519,0.95,-350084,2.81
161979,1884,1.519,0.949,-350116,2.88
162202,1884,1.519,0.948,-350096,2.83
162394,1884,1.519,0.947,-350089,2.82
162621,1884,1.519,0.949,-350054,2.74
162846,1884,1.519,0.948,-350055,2.74
163073,1884,1.519,0.949,-350083,2.8
163362,1884,1.519,0.948,-350101,2.84
163583,1884,1.519,0.947,-350155,2.97
163774,1884,1.519,0.946,-350080,2.8
164029,1884,1.519,0.948,-350103,2.85
164246,1885,1.519,0.961,-350023,2.67
164462,1885,1.52,0.973,-350099,2.84
164709,1886,1.52,0.982,-350101,2.84
164922,1886,1.52,0.99,-350076,2.79
165169,1886,1.521,0.999,-350010,2.64
165415,1887,1.521,1.005,-350175,3.01
165633,1887,1.521,1.012,-350050,2.73
165878,1887,1.521,1.017,-350069,2.77
166153,1888,1.522,1.024,-350143,2.94
166401,1888,1.522,1.029,-350082,2.8
166652,1888,1.521,1.02,-350073,2.78
166875,1887,1.521,1.012,-350170,3.0
167101,1887,1.521,1.005,-350185,3.03
167267,1886,1.521,0.996,-350177,3.01
167491,1886,1.52,0.991,-350147,2.95
167742,1886,1.52,0.988,-350148,2.95
167997,1886,1.52,0.985,-350069,2.77
168187,1886,1.52,0.98,-350104,2.85
168445,1885,1.52,0.976,-350122,2.89
168643,1885,1.52,0.973,-350110,2.86
168867,1885,1.519,0.969,-350127,2.9
169088,1885,1.519,0.968,-350037,2.7
169280,1885,1.519,0.967,-350107,2.86
169473,1885,1.519,0.965,-350135,2.92
169728,1885,1.519,0.962,-350094,2.83
169956,1885,1.519,0.96,-350140,2.93
170153,1884,1.519,0.958,-350147,2.95
170350,1884,1.519,0.958,-350131,2.91
170579,1884,1.519,0.956,-350068,2.77
170805,1884,1.519,0.955,-350112,2.87
171029,1884,1.519,0.953,-350165,2.99
171323,1884,1.519,0.952,-350158,2.97
171614,1885,1.519,0.967,-350126,2.9
171801,1885,1.519,0.962,-350175,3.01
172018,1884,1.519,0.96,-350132,2.91
172249,1884,1.519,0.96,-350121,2.89
172475,1884,1.519,0.958,-350043,2.72
172730,1884,1.519,0.956,-350208,3.08
172990,1884,1.519,0.952,-350062,2.76
173184,1884,1.519,0.949,-350143,2.94
173376,1884,1.518,0.946,-350100,2.84
173573,1884,1.518,0.943,-350130,2.91
173803,1884,1.518,0.943,-350154,2.96
174063,1884,1.518,0.945,-350150,2.95
174321,1884,1.519,0.946,-350152,2.96
174510,1884,1.519,0.947,-350130,2.91
174704,1884,1.519,0.947,-350108,2.86
174963,1884,1.518,0.946,-350155,2.97
175155,1884,1.518,0.945,-350147,2.95
175413,1884,1.519,0.947,-350054,2.74
175700,1884,1.518,0.942,-350176,3.01
175892,1883,1.518,0.938,-350042,2.71
176083,1883,1.518,0.934,-350077,2.79
176278,1883,1.518,0.93,-350105,2.85
176471,1883,1.518,0.925,-350161,2.98
176698,1883,1.518,0.923,-350063,2.76
176952,1882,1.517,0.918,-350149,2.95
177141,1883,1.518,0.929,-350127,2.9
177327,1883,1.518,0.938,-350079,2.8
177545,1883,1.518,0.932,-350134,2.92
177774,1883,1.518,0.929,-350143,2.94
177997,1883,1.518,0.926,-350119,2.88
178249,1883,1.517,0.921,-350109,2.86
178471,1882,1.517,0.919,-350056,2.74
178700,1882,1.517,0.915,-350056,2.74
178922,1882,1.517,0.911,-350134,2.92
179152,1882,1.517,0.908,-350156,2.97
179413,1882,1.517,0.905,-349605,1.74
179634,1882,1.517,0.903,-350121,2.89
179861,1882,1.517,0.9,-350113,2.87
180118,1881,1.517,0.896,-350113,2.87
180308,1881,1.516,0.894,-350116,2.88
180535,1881,1.516,0.893,-350120,2.89
180763,1881,1.516,0.894,-350157,2.97
180956,1881,1.516,0.894,-350081,2.8
181181,1881,1.516,0.895,-350155,2.97
181406,1881,1.516,0.895,-350189,3.04
181634,1881,1.516,0.895,-350114,2.87
181825,1881,1.516,0.894,-350094,2.83
182021,1881,1.516,0.894,-350109,2.86
182245,1881,1.516,0.893,-350128,2.9
182471,1881,1.516,0.891,-350188,3.04
182718,1882,1.517,0.906,-350085,2.81
182905,1882,1.517,0.918,-350145,2.94
183188,1882,1.517,0.916,-350099,2.84
183382,1882,1.517,0.912,-350044,2.72
183577,1882,1.517,0.911,-350106,2.86
183832,1882,1.517,0.912,-350167,2.99
184087,1882,1.517,0.911,-350106,2.86
184310,1882,1.517,0.909,-350105,2.85
184532,1882,1.517,0.906,-349971,2.55
184789,1882,1.517,0.904,-350061,2.76
184984,1882,1.517,0.907,-349856,2.3
185171,1882,1.517,0.906,-349520,1.55
185428,1882,1.517,0.906,-349677,1.9
185683,1882,1.517,0.905,-349960,2.53
185903,1882,1.517,0.904,-350047,2.72
186160,1882,1.517,0.904,-350121,2.89
186416,1882,1.517,0.903,-350100,2.84
186641,1882,1.517,0.903,-350091,2.82
186899,1882,1.517,0.903,-350150,2.95
187125,1882,1.517,0.902,-350159,2.97
187349,1882,1.517,0.9,-350129,2.91
187570,1881,1.517,0.898,-350088,2.82
187765,1882,1.517,0.9,-350090,2.82
187989,1882,1.517,0.9,-350113,2.87
188205,1882,1.517,0.91,-350079,2.8
188450,1882,1.517,0.909,-350098,2.84
188695,1882,1.517,0.914,-350084,2.81
188883,1883,1.518,0.923,-350090,2.82
189100,1883,1.518,0.93,-350079,2.8
189316,1883,1.518,0.937,-350106,2.86
189510,1883,1.518,0.929,-350060,2.75
189732,1883,1.518,0.922,-350090,2.82
189894,1882,1.517,0.918,-350020,2.66
190146,1882,1.517,0.914,-350132,2.91
190371,1882,1.517,0.911,-350125,2.9
190629,1882,1.517,0.908,-350044,2.72
190824,1882,1.517,0.907,-350119,2.88
191082,1882,1.517,0.904,-350103,2.85
191278,1882,1.517,0.901,-350046,2.72
191503,1881,1.517,0.899,-350063,2.76
191729,1881,1.517,0.897,-350135,2.92
192017,1881,1.516,0.895,-350038,2.7
192305,1881,1.516,0.896,-350075,2.79
192529,1881,1.517,0.896,-350016,2.65
192753,1881,1.516,0.894,-350034,2.7
193005,1881,1.516,0.893,-350085,2.81
193443,1881,1.516,0.892,-350109,2.86
193666,1881,1.516,0.89,-350129,2.91
194070,1881,1.516,0.889,-350116,2.88
194512,1882,1.517,0.902,-350132,2.91
194702,1882,1.517,0.912,-350075,2.79
194919,1883,1.517,0.921,-350045,2.72
195147,1882,1.517,0.915,-350099,2.84
195367,1882,1.517,0.911,-350095,2.83
195593,1882,1.517,0.906,-350038,2.7
195973,1882,1.517,0.901,-350101,2.84
196227,1881,1.517,0.897,-350114,2.87
196447,1881,1.516,0.895,-350106,2.86
196667,1881,1.516,0.894,-350122,2.89
197109,1881,1.516,0.892,-350082,2.8
197336,1881,1.516,0.889,-350066,2.77
197590,1880,1.516,0.876,-350126,2.9
197816,1880,1.515,0.866,-350016,2.65
198042,1880,1.515,0.859,-350171,3.0
198270,1879,1.515,0.853,-350130,2.91
198619,1879,1.515,0.848,-350160,2.98
198841,1879,1.514,0.845,-350087,2.81
199065,1879,1.514,0.844,-350127,2.9
199288,1879,1.514,0.844,-350105,2.85
199481,1879,1.514,0.841,-350140,2.93
199707,1879,1.514,0.839,-350034,2.7
199936,1878,1.514,0.837,-350052,2.74
200305,1879,1.515,0.849,-350106,2.86
200652,1879,1.514,0.844,-350137,2.93
200847,1879,1.514,0.84,-350127,2.9
201099,1878,1.514,0.837,-350093,2.83
201540,1878,1.514,0.834,-350110,2.86
201767,1878,1.514,0.828,-350077,2.79
201990,1878,1.514,0.825,-350167,2.99
202191,1878,1.514,0.822,-350093,2.83
202412,1877,1.513,0.818,-350175,3.01
202608,1877,1.513,0.818,-350094,2.83
202860,1877,1.513,0.818,-350120,2.89
203272,1877,1.513,0.818,-350105,2.85
203499,1877,1.513,0.818,-350125,2.9
203907,1877,1.513,0.818,-350072,2.78
204103,1877,1.513,0.816,-350118,2.88
204358,1877,1.513,0.817,-350148,2.95
204770,1877,1.513,0.817,-350130,2.91
205185,1878,1.513,0.819,-350142,2.94
205407,1878,1.513,0.819,-350110,2.86
205804,1878,1.514,0.833,-350091,2.82
206056,1878,1.514,0.832,-350056,2.74
206468,1878,1.514,0.83,-350160,2.98
206659,1878,1.514,0.829,-350102,2.85
206853,1878,1.514,0.826,-350091,2.82
207074,1878,1.514,0.827,-350083,2.8
207330,1878,1.514,0.828,-350097,2.84
207583,1878,1.514,0.828,-350141,2.93
207965,1878,1.514,0.827,-350129,2.91
208187,1878,1.514,0.826,-350147,2.95
208379,1878,1.514,0.827,-350137,2.93
208606,1878,1.514,0.826,-350100,2.84
208829,1878,1.514,0.826,-350127,2.9
209086,1878,1.514,0.827,-350152,2.96
209465,1878,1.514,0.828,-350125,2.9
209842,1878,1.514,0.829,-350126,2.9
210093,1878,1.514,0.83,-350092,2.82
210316,1878,1.514,0.831,-350137,2.93
210512,1878,1.514,0.832,-350094,2.83
210831,1878,1.514,0.834,-350145,2.94
210991,1879,1.515,0.849,-350046,2.72
211205,1880,1.515,0.86,-350131,2.91
211420,1879,1.515,0.858,-350112,2.87
211639,1879,1.515,0.856,-350065,2.76
211834,1879,1.515,0.854,-350110,2.86
212059,1879,1.515,0.851,-350087,2.81
212496,1879,1.515,0.848,-350138,2.93
212689,1879,1.514,0.845,-350122,2.89
212978,1879,1.514,0.842,-350109,2.86
213171,1879,1.514,0.84,-350030,2.69
213426,1879,1.514,0.84,-350036,2.7
213836,1879,1.514,0.84,-349979,2.57
213997,1878,1.514,0.837,-350061,2.76
214372,1878,1.514,0.838,-350039,2.71
214594,1878,1.514,0.838,-350102,2.85
214783,1878,1.514,0.838,-350078,2.79
215037,1878,1.514,0.838,-350058,2.75
215291,1878,1.514,0.838,-350043,2.72
215514,1878,1.514,0.838,-350079,2.8
215709,1878,1.514,0.836,-350028,2.68
216082,1878,1.514,0.836,-350088,2.82
216276,1878,1.514,0.837,-350124,2.9
216527,1879,1.515,0.849,-350125,2.9
216770,1879,1.515,0.858,-350048,2.73
216990,1879,1.515,0.854,-350121,2.89
217213,1879,1.515,0.851,-350046,2.72
217437,1879,1.515,0.849,-350040,2.71
217853,1879,1.515,0.846,-350104,2.85
218079,1879,1.514,0.846,-350112,2.87
218429,1879,1.514,0.843,-350003,2.63
218651,1879,1.514,0.842,-350006,2.63
218874,1879,1.514,0.842,-350102,2.85
219098,1879,1.514,0.842,-350066,2.77
219320,1879,1.514,0.841,-350102,2.85
219728,1879,1.514,0.843,-350070,2.78
219922,1879,1.514,0.845,-350082,2.8
220177,1879,1.514,0.844,-350113,2.87
220402,1879,1.514,0.846,-350155,2.97
220627,1879,1.514,0.845,-350100,2.84
221008,1879,1.514,0.844,-350061,2.76
221231,1879,1.514,0.846,-350025,2.68
221455,1879,1.514,0.845,-350055,2.74
221677,1879,1.514,0.845,-350033,2.69
221869,1879,1.514,0.844,-350140,2.93
222141,1879,1.515,0.858,-350130,2.91
222385,1880,1.515,0.87,-350114,2.87
222745,1881,1.516,0.881,-350102,2.85
222994,1880,1.516,0.877,-350093,2.83
223215,1880,1.516,0.873,-350132,2.91
223470,1880,1.515,0.869,-350063,2.76
223721,1880,1.516,0.872,-350050,2.73
223944,1880,1.516,0.873,-350108,2.86
224168,1880,1.515,0.87,-350026,2.68
224332,1880,1.515,0.869,-350123,2.89
224555,1880,1.515,0.868,-350062,2.76
224782,1880,1.515,0.867,-350083,2.8
224976,1880,1.515,0.864,-350046,2.72
225202,1880,1.515,0.861,-350157,2.97
225423,1880,1.515,0.861,-350157,2.97
225678,1879,1.515,0.857,-350053,2.74
225902,1879,1.515,0.855,-350104,2.85
226095,1879,1.515,0.856,-352149,7.42
226286,1879,1.515,0.854,-366075,38.51
226537,1879,1.515,0.854,-371073,49.67
226732,1879,1.515,0.853,-370398,48.17
226923,1879,1.515,0.853,-370455,48.29
227086,1879,1.515,0.854,-376285,61.31
227341,1879,1.515,0.852,-391895,96.17
227571,1879,1.515,0.853,-393514,99.78
227797,1879,1.515,0.858,-393643,100.07
227993,1880,1.516,0.874,-393594,99.96
228180,1881,1.516,0.889,-393583,99.94
228400,1881,1.516,0.886,-393608,99.99
228627,1881,1.516,0.887,-393574,99.92
228951,1881,1.516,0.886,-393580,99.93
229144,1881,1.516,0.888,-393567,99.9
229404,1881,1.516,0.887,-393570,99.91
229633,1881,1.516,0.888,-393582,99.93
229859,1881,1.516,0.889,-393644,100.07
230084,1881,1.516,0.888,-393599,99.97
230374,1881,1.516,0.889,-393705,100.21
230569,1881,1.516,0.888,-393631,100.04
230765,1881,1.516,0.887,-393689,100.17
230990,1881,1.516,0.888,-393538,99.83
231218,1881,1.516,0.89,-393577,99.92
231472,1881,1.516,0.891,-393631,100.04
231735,1881,1.516,0.889,-393582,99.93
231989,1881,1.516,0.888,-393646,100.08
232246,1881,1.516,0.887,-393645,100.07
232471,1881,1.516,0.889,-393645,100.07
232688,1881,1.516,0.888,-393546,99.85
232911,1881,1.516,0.889,-393602,99.98
233135,1881,1.516,0.888,-393573,99.91
233355,1881,1.516,0.887,-393666,100.12
