ms,raw,v,currentA,lc_raw,lc_grams
184437,1872.0,1.509,-0.015,-344556.0,
184668,1872.0,1.509,-0.023,-344601.0,
186115,1872.0,1.509,-0.027,-344598.0,
186312,1871.0,1.509,-0.032,-344650.0,
187215,1873.0,1.51,-0.003,-344595.0,
187434,1872.0,1.509,-0.012,-344652.0,
188718,1872.0,1.509,-0.018,-344555.0,
188885,1872.0,1.509,-0.023,-344616.0,
189407,1872.0,1.509,-0.028,-344616.0,
189851,1871.0,1.508,-0.032,-344508.0,
190551,1871.0,1.508,-0.038,-344528.0,
190871,1871.0,1.508,-0.041,-344491.0,
191530,1871.0,1.508,-0.044,-344591.0,
191888,1871.0,1.508,-0.047,-344562.0,
192373,1871.0,1.508,-0.049,-344517.0,
192596,1872.0,1.509,-0.019,-344557.0,
193991,1872.0,1.509,-0.024,-344561.0,
194187,1872.0,1.509,-0.029,-344538.0,
194812,1871.0,1.508,-0.033,-344547.0,
195730,1871.0,1.508,-0.037,-344564.0,
197323,1871.0,1.508,-0.04,-344576.0,
197872,1871.0,1.508,-0.043,-344555.0,
198595,1872.0,1.509,-0.014,-344586.0,
199768,1872.0,1.509,-0.02,-344567.0,
201245,1872.0,1.509,-0.025,-344569.0,
201820,1872.0,1.509,-0.027,-344650.0,
202449,1872.0,1.509,-0.03,-344602.0,
203235,1871.0,1.509,-0.032,-344583.0,
203565,1871.0,1.509,-0.032,-344595.0,
203896,1871.0,1.508,-0.034,-344622.0,
205354,1873.0,1.51,-0.005,-344600.0,
206429,1872.0,1.509,-0.012,-344635.0,
206749,1872.0,1.509,-0.015,-344619.0,
208284,1872.0,1.509,-0.019,-344606.0,
209370,1872.0,1.509,-0.022,-344537.0,
210355,1872.0,1.509,-0.027,-344455.0,
210521,1872.0,1.509,-0.029,-344542.0,
210971,1871.0,1.509,-0.032,-344519.0,
212471,1873.0,1.51,0.001,-344537.0,
213892,1873.0,1.51,-0.006,-344538.0,
214972,1872.0,1.509,-0.011,-344545.0,
215446,1872.0,1.509,-0.017,-344575.0,
215801,1872.0,1.509,-0.022,-344704.0,
217109,1872.0,1.509,-0.027,-344588.0,
217303,1872.0,1.509,-0.029,-344604.0,
218856,1873.0,1.51,0.001,-344405.0,
220409,1873.0,1.51,-0.006,-344495.0,
221078,1872.0,1.509,-0.011,-344503.0,
223121,1872.0,1.509,-0.017,-344398.0,
223351,1872.0,1.509,-0.02,-344372.0,
224617,1872.0,1.509,-0.021,-344397.0,
225000,1872.0,1.509,-0.022,-344420.0,
226695,1874.0,1.51,0.011,-344295.0,
227017,1873.0,1.51,0.007,-344338.0,
227821,1873.0,1.51,0.001,-344395.0,
228686,1873.0,1.51,-0.002,-344393.0,
229038,1873.0,1.51,-0.005,-344382.0,
230627,1873.0,1.509,-0.009,-344505.0,
231204,1872.0,1.509,-0.013,-344478.0,
231614,1872.0,1.509,-0.015,-344497.0,
231961,1872.0,1.509,-0.019,-344507.0,
232339,1874.0,1.51,0.012,-344500.0,
232675,1875.0,1.511,0.04,-344532.0,
233159,1875.0,1.511,0.031,-344571.0,
233328,1874.0,1.511,0.023,-344591.0,
234864,1874.0,1.51,0.016,-344623.0,
235094,1874.0,1.51,0.011,-344685.0,
235688,1873.0,1.51,0.005,-344596.0,
235938,1873.0,1.51,-0.001,-344752.0,
236987,1873.0,1.51,-0.006,-344743.0,
237439,1873.0,1.509,-0.01,-344914.0,
238341,1874.0,1.511,0.018,-360876.0,
239059,1874.0,1.51,0.011,-379886.0,
239410,1873.0,1.51,0.005,-388334.0,
240372,1873.0,1.51,-0.001,-388011.0,
240638,1873.0,1.51,-0.006,-388060.0,
241185,1873.0,1.509,-0.01,-388053.0,
242085,1872.0,1.509,-0.012,-388116.0,
242697,1872.0,1.509,-0.016,-388375.0,
243185,1872.0,1.509,-0.017,-388104.0,
244736,1874.0,1.51,0.011,-388110.0,
245760,1873.0,1.51,0.003,-388176.0,
245991,1873.0,1.51,-0.0,-388186.0,
246433,1873.0,1.51,-0.003,-388184.0,
247270,1873.0,1.51,-0.006,-388153.0,
247468,1873.0,1.509,-0.008,-388216.0,
248218,1872.0,1.509,-0.013,-388171.0,
251072,1872.0,1.509,-0.014,-388183.0,
251617,1872.0,1.509,-0.018,-388182.0,100.0
252422,1872.0,1.509,-0.019,-388053.0,99.7
