pc_time,ms,time_s,current_a,thrust_g,raw_line
2026-03-28T22:59:29,77706,77.706,0.655,,"77706,1897,1.529,0.655,407555,NA"
2026-03-28T22:59:29,77606,77.606,0.657,,"77606,1897,1.529,0.657,407490,NA"
2026-03-28T22:59:30,77826,77.826,0.654,,"77826,1897,1.529,0.654,407518,NA"
2026-03-28T22:59:30,77966,77.966,0.654,,"77966,1897,1.529,0.654,407545,NA"
2026-03-28T22:59:30,78066,78.066,0.65,,"78066,1896,1.529,0.650,407485,NA"
2026-03-28T22:59:30,78166,78.166,0.647,,"78166,1896,1.528,0.647,407447,NA"
2026-03-28T22:59:30,78266,78.266,0.641,,"78266,1896,1.528,0.641,407481,NA"
2026-03-28T22:59:30,78386,78.386,0.638,,"78386,1896,1.528,0.638,407540,NA"
2026-03-28T22:59:30,78526,78.526,0.642,,"78526,1896,1.528,0.642,407550,NA"
2026-03-28T22:59:30,78626,78.626,0.646,,"78626,1896,1.528,0.646,407562,NA"
2026-03-28T22:59:30,78726,78.726,0.648,,"78726,1896,1.529,0.648,407550,NA"
2026-03-28T22:59:31,78826,78.826,0.649,,"78826,1896,1.529,0.649,407562,NA"
2026-03-28T22:59:31,78946,78.946,0.648,,"78946,1896,1.529,0.648,407533,NA"
2026-03-28T22:59:31,79086,79.086,0.651,,"79086,1896,1.529,0.651,407527,NA"
2026-03-28T22:59:31,79186,79.186,0.649,,"79186,1896,1.529,0.649,407541,NA"
2026-03-28T22:59:31,79306,79.306,0.652,,"79306,1896,1.529,0.652,407659,NA"
2026-03-28T22:59:31,79446,79.446,0.652,,"79446,1896,1.529,0.652,407659,NA"
2026-03-28T22:59:31,79546,79.546,0.65,,"79546,1896,1.529,0.650,407768,NA"
2026-03-28T22:59:31,79646,79.646,0.653,,"79646,1897,1.529,0.653,407810,NA"
2026-03-28T22:59:31,79746,79.746,0.652,,"79746,1897,1.529,0.652,407661,NA"
2026-03-28T22:59:32,79866,79.866,0.654,,"79866,1897,1.529,0.654,407659,NA"
2026-03-28T22:59:32,80006,80.006,0.656,,"80006,1897,1.529,0.656,407640,NA"
2026-03-28T22:59:32,80106,80.106,0.658,,"80106,1897,1.529,0.658,407680,NA"
2026-03-28T22:59:32,80206,80.206,0.659,,"80206,1897,1.529,0.659,407642,NA"
2026-03-28T22:59:32,80306,80.306,0.663,,"80306,1897,1.529,0.663,407642,NA"
2026-03-28T22:59:32,80426,80.426,0.66,,"80426,1897,1.529,0.660,407619,NA"
2026-03-28T22:59:32,80566,80.566,0.657,,"80566,1897,1.529,0.657,407715,NA"
2026-03-28T22:59:32,80666,80.666,0.66,,"80666,1897,1.529,0.660,407858,NA"
2026-03-28T22:59:33,80766,80.766,0.658,,"80766,1897,1.529,0.658,407847,NA"
2026-03-28T22:59:33,80866,80.866,0.657,,"80866,1897,1.529,0.657,407851,NA"
2026-03-28T22:59:33,81006,81.006,0.657,,"81006,1897,1.529,0.657,407707,NA"
2026-03-28T22:59:33,81126,81.126,0.656,,"81126,1897,1.529,0.656,407655,NA"
2026-03-28T22:59:33,81226,81.226,0.653,,"81226,1897,1.529,0.653,407692,NA"
2026-03-28T22:59:33,81346,81.346,0.649,,"81346,1896,1.529,0.649,407662,NA"
2026-03-28T22:59:33,81486,81.486,0.646,,"81486,1896,1.528,0.646,407595,NA"
2026-03-28T22:59:33,81586,81.586,0.648,,"81586,1896,1.529,0.648,407493,NA"
2026-03-28T22:59:33,81686,81.686,0.649,,"81686,1896,1.529,0.649,407579,NA"
2026-03-28T22:59:34,81786,81.786,0.652,,"81786,1896,1.529,0.652,407640,NA"
