pc_time,ms,time_s,current_a,thrust_g,raw_line
2026-03-28T15:49:38,29746,29.746,0.656,,"29746,1893,1.526,0.656,392017,NA"
2026-03-28T15:49:38,29846,29.846,0.651,,"29846,1892,1.525,0.651,392088,NA"
2026-03-28T15:49:38,29966,29.966,0.646,,"29966,1892,1.525,0.646,392177,NA"
2026-03-28T15:49:38,30106,30.106,0.637,,"30106,1892,1.525,0.637,392206,NA"
2026-03-28T15:49:38,30206,30.206,0.63,,"30206,1891,1.525,0.630,392275,NA"
2026-03-28T15:49:38,30306,30.306,0.631,,"30306,1891,1.525,0.631,392286,NA"
2026-03-28T15:49:38,30406,30.406,0.629,,"30406,1891,1.525,0.629,392243,NA"
2026-03-28T15:49:38,30526,30.526,0.627,,"30526,1891,1.524,0.627,392160,NA"
2026-03-28T15:49:39,30666,30.666,0.626,,"30666,1891,1.524,0.626,392265,NA"
2026-03-28T15:49:39,30766,30.766,0.626,,"30766,1891,1.524,0.626,392160,NA"
2026-03-28T15:49:39,30866,30.866,0.628,,"30866,1891,1.524,0.628,392043,NA"
2026-03-28T15:49:39,30966,30.966,0.629,,"30966,1891,1.525,0.629,392107,NA"
2026-03-28T15:49:39,31086,31.086,0.632,,"31086,1891,1.525,0.632,392075,NA"
2026-03-28T15:49:39,31226,31.226,0.63,,"31226,1891,1.525,0.630,392018,NA"
2026-03-28T15:49:39,31326,31.326,0.631,,"31326,1891,1.525,0.631,392014,NA"
2026-03-28T15:49:39,31446,31.446,0.635,,"31446,1892,1.525,0.635,392011,NA"
2026-03-28T15:49:39,31586,31.586,0.635,,"31586,1892,1.525,0.635,392071,NA"
2026-03-28T15:49:40,31686,31.686,0.634,,"31686,1892,1.525,0.634,391935,NA"
2026-03-28T15:49:40,31786,31.786,0.634,,"31786,1892,1.525,0.634,391906,NA"
2026-03-28T15:49:40,31886,31.886,0.634,,"31886,1892,1.525,0.634,392019,NA"
2026-03-28T15:49:40,32006,32.006,0.635,,"32006,1892,1.525,0.635,392182,NA"
2026-03-28T15:49:40,32146,32.146,0.634,,"32146,1892,1.525,0.634,392139,NA"
2026-03-28T15:49:40,32246,32.246,0.638,,"32246,1892,1.525,0.638,392039,NA"
2026-03-28T15:49:40,32346,32.346,0.637,,"32346,1892,1.525,0.637,391939,NA"
2026-03-28T15:49:40,32446,32.446,0.636,,"32446,1892,1.525,0.636,391967,NA"
2026-03-28T15:49:40,32586,32.586,0.635,,"32586,1892,1.525,0.635,392311,NA"
2026-03-28T15:49:41,32706,32.706,0.634,,"32706,1892,1.525,0.634,392397,NA"
2026-03-28T15:49:41,32806,32.806,0.632,,"32806,1891,1.525,0.632,392362,NA"
2026-03-28T15:49:41,32926,32.926,0.636,,"32926,1892,1.525,0.636,392588,NA"
2026-03-28T15:49:41,33066,33.066,0.635,,"33066,1892,1.525,0.635,392740,NA"
2026-03-28T15:49:41,33166,33.166,0.638,,"33166,1892,1.525,0.638,392527,NA"
2026-03-28T15:49:41,33266,33.266,0.637,,"33266,1892,1.525,0.637,392364,NA"
2026-03-28T15:49:41,33366,33.366,0.64,,"33366,1892,1.525,0.640,392325,NA"
2026-03-28T15:49:41,33486,33.486,0.64,,"33486,1892,1.525,0.640,392428,NA"
2026-03-28T15:49:41,33626,33.626,0.64,,"33626,1892,1.525,0.640,392298,NA"
2026-03-28T15:49:42,33726,33.726,0.64,,"33726,1892,1.525,0.640,392180,NA"
2026-03-28T15:49:42,33826,33.826,0.64,,"33826,1892,1.525,0.640,392280,NA"
2026-03-28T15:49:42,33926,33.926,0.64,,"33926,1892,1.525,0.640,392491,NA"
2026-03-28T15:49:42,34066,34.066,0.642,,"34066,1892,1.525,0.642,392498,NA"
2026-03-28T15:49:42,34186,34.186,0.641,,"34186,1892,1.525,0.641,392432,NA"
2026-03-28T15:49:42,34286,34.286,0.637,,"34286,1892,1.525,0.637,392300,NA"
2026-03-28T15:49:42,34406,34.406,0.634,,"34406,1892,1.525,0.634,392150,NA"
2026-03-28T15:49:44,35927,35.927,0.634,,"35927,1892,1.525,0.634,0,NA"
2026-03-28T15:49:44,36046,36.046,0.632,,"36046,1891,1.525,0.632,392431,NA"
2026-03-28T15:49:44,36166,36.166,0.631,,"36166,1891,1.525,0.631,392464,NA"
2026-03-28T15:49:44,36306,36.306,0.629,,"36306,1891,1.525,0.629,391536,NA"
2026-03-28T15:49:44,36406,36.406,0.632,,"36406,1891,1.525,0.632,391690,NA"
2026-03-28T15:49:44,36506,36.506,0.632,,"36506,1891,1.525,0.632,392006,NA"
2026-03-28T15:49:44,36606,36.606,0.634,,"36606,1892,1.525,0.634,392259,NA"
2026-03-28T15:49:45,36726,36.726,0.632,,"36726,1891,1.525,0.632,392454,NA"
2026-03-28T15:49:45,36866,36.866,0.632,,"36866,1891,1.525,0.632,392560,NA"
2026-03-28T15:49:45,36966,36.966,0.634,,"36966,1892,1.525,0.634,392467,NA"
2026-03-28T15:49:45,37086,37.086,0.634,,"37086,1892,1.525,0.634,392318,NA"
