pc_time,ms,time_s,current_a,thrust_g,raw_line
2026-03-27T16:46:00,183546,183.546,0.705,,"183546,1897,1.529,0.705,-373831,NA"
2026-03-27T16:46:00,183666,183.666,0.697,,"183666,1896,1.529,0.697,-373856,NA"
2026-03-27T16:46:00,183806,183.806,0.692,,"183806,1896,1.528,0.692,-373846,NA"
2026-03-27T16:46:00,183906,183.906,0.689,,"183906,1896,1.528,0.689,-373836,NA"
2026-03-27T16:46:00,184006,184.006,0.69,,"184006,1896,1.528,0.690,-373782,NA"
2026-03-27T16:46:00,184106,184.106,0.687,,"184106,1896,1.528,0.687,-373851,NA"
2026-03-27T16:46:00,184226,184.226,0.685,,"184226,1896,1.528,0.685,-373920,NA"
2026-03-27T16:46:00,184366,184.366,0.684,,"184366,1896,1.528,0.684,-373782,NA"
2026-03-27T16:46:00,184466,184.466,0.685,,"184466,1896,1.528,0.685,-373840,NA"
2026-03-27T16:46:01,184566,184.566,0.686,,"184566,1896,1.528,0.686,-373864,NA"
2026-03-27T16:46:01,184666,184.666,0.684,,"184666,1896,1.528,0.684,-373809,NA"
2026-03-27T16:46:01,184786,184.786,0.683,,"184786,1896,1.528,0.683,-373916,NA"
2026-03-27T16:46:01,184926,184.926,0.682,,"184926,1896,1.528,0.682,-373905,NA"
2026-03-27T16:46:01,185026,185.026,0.686,,"185026,1896,1.528,0.686,-373907,NA"
2026-03-27T16:46:01,185126,185.126,0.685,,"185126,1896,1.528,0.685,-373972,NA"
2026-03-27T16:46:01,185226,185.226,0.687,,"185226,1896,1.528,0.687,-373926,NA"
2026-03-27T16:46:01,185366,185.366,0.689,,"185366,1896,1.528,0.689,-373981,NA"
2026-03-27T16:46:02,185486,185.486,0.689,,"185486,1896,1.528,0.689,-373984,NA"
2026-03-27T16:46:02,185586,185.586,0.69,,"185586,1896,1.528,0.690,-374027,NA"
2026-03-27T16:46:02,185706,185.706,0.691,,"185706,1896,1.528,0.691,-373914,NA"
2026-03-27T16:46:02,185846,185.846,0.69,,"185846,1896,1.528,0.690,-374043,NA"
2026-03-27T16:46:02,185946,185.946,0.689,,"185946,1896,1.528,0.689,-374029,NA"
2026-03-27T16:46:02,186046,186.046,0.689,,"186046,1896,1.528,0.689,-373918,NA"
2026-03-27T16:46:02,186146,186.146,0.689,,"186146,1896,1.528,0.689,-373924,NA"
2026-03-27T16:46:02,186266,186.266,0.687,,"186266,1896,1.528,0.687,-373948,NA"
2026-03-27T16:46:02,186406,186.406,0.688,,"186406,1896,1.528,0.688,-373930,NA"
2026-03-27T16:46:03,186506,186.506,0.688,,"186506,1896,1.528,0.688,-373919,NA"
2026-03-27T16:46:03,186606,186.606,0.687,,"186606,1896,1.528,0.687,-373819,NA"
2026-03-27T16:46:03,186706,186.706,0.687,,"186706,1896,1.528,0.687,-373754,NA"
2026-03-27T16:46:03,186826,186.826,0.689,,"186826,1896,1.528,0.689,-373901,NA"
2026-03-27T16:46:03,186966,186.966,0.692,,"186966,1896,1.528,0.692,-373972,NA"
2026-03-27T16:46:03,187066,187.066,0.693,,"187066,1896,1.528,0.693,-373987,NA"
2026-03-27T16:46:03,187166,187.166,0.695,,"187166,1896,1.528,0.695,-373908,NA"
2026-03-27T16:46:03,187266,187.266,0.694,,"187266,1896,1.528,0.694,-373699,NA"
2026-03-27T16:46:03,187406,187.406,0.698,,"187406,1896,1.529,0.698,-373743,NA"
2026-03-27T16:46:04,187526,187.526,0.7,,"187526,1896,1.529,0.700,-373754,NA"
2026-03-27T16:46:04,187626,187.626,0.704,,"187626,1897,1.529,0.704,-373963,NA"
2026-03-27T16:46:04,187746,187.746,0.707,,"187746,1897,1.529,0.707,-374127,NA"
2026-03-27T16:46:04,187886,187.886,0.709,,"187886,1897,1.529,0.709,-374078,NA"
2026-03-27T16:46:04,187986,187.986,0.707,,"187986,1897,1.529,0.707,-374075,NA"
2026-03-27T16:46:04,188086,188.086,0.708,,"188086,1897,1.529,0.708,-374028,NA"
2026-03-27T16:46:04,188186,188.186,0.709,,"188186,1897,1.529,0.709,-374083,NA"
2026-03-27T16:46:04,188306,188.306,0.709,,"188306,1897,1.529,0.709,-374100,NA"
2026-03-27T16:46:04,188446,188.446,0.712,,"188446,1897,1.529,0.712,-373991,NA"
2026-03-27T16:46:05,188546,188.546,0.712,,"188546,1897,1.529,0.712,-373960,NA"
2026-03-27T16:46:05,188646,188.646,0.71,,"188646,1897,1.529,0.710,-373972,NA"
2026-03-27T16:46:05,188746,188.746,0.713,,"188746,1897,1.529,0.713,-373987,NA"
2026-03-27T16:46:05,188866,188.866,0.711,,"188866,1897,1.529,0.711,-373967,NA"
2026-03-27T16:46:05,189006,189.006,0.712,,"189006,1897,1.529,0.712,-374005,NA"
2026-03-27T16:46:05,189106,189.106,0.717,,"189106,1897,1.529,0.717,-374027,NA"
2026-03-27T16:46:05,189206,189.206,0.718,,"189206,1897,1.529,0.718,-373887,NA"
2026-03-27T16:46:05,189306,189.306,0.718,,"189306,1897,1.529,0.718,-373869,NA"
2026-03-27T16:46:05,189446,189.446,0.719,,"189446,1897,1.529,0.719,-373893,NA"
2026-03-27T16:46:06,189566,189.566,0.723,,"189566,1898,1.530,0.723,-373689,NA"
2026-03-27T16:46:06,189666,189.666,0.727,,"189666,1898,1.530,0.727,-373385,NA"
2026-03-27T16:46:06,189786,189.786,0.729,,"189786,1898,1.530,0.729,-372924,NA"
2026-03-27T16:46:06,189926,189.926,0.73,,"189926,1898,1.530,0.730,-372323,NA"
2026-03-27T16:46:06,190026,190.026,0.724,,"190026,1898,1.530,0.724,-372388,NA"
2026-03-27T16:46:06,190126,190.126,0.718,,"190126,1897,1.529,0.718,-372705,NA"
2026-03-27T16:46:06,190226,190.226,0.715,,"190226,1897,1.529,0.715,-372763,NA"
2026-03-27T16:46:06,190346,190.346,0.711,,"190346,1897,1.529,0.711,-372884,NA"
2026-03-27T16:46:06,190486,190.486,0.707,,"190486,1897,1.529,0.707,-353171,NA"
2026-03-27T16:46:07,190586,190.586,0.705,,"190586,1897,1.529,0.705,-340129,NA"
2026-03-27T16:46:07,190686,190.686,0.702,,"190686,1897,1.529,0.702,-324165,NA"
2026-03-27T16:46:07,190786,190.786,0.702,,"190786,1897,1.529,0.702,-345888,NA"
2026-03-27T16:46:07,190906,190.906,0.703,,"190906,1897,1.529,0.703,-373426,NA"
2026-03-27T16:46:07,191046,191.046,0.706,,"191046,1897,1.529,0.706,-359419,NA"
2026-03-27T16:46:07,191146,191.146,0.706,,"191146,1897,1.529,0.706,-358853,NA"
2026-03-27T16:46:07,191246,191.246,0.705,,"191246,1897,1.529,0.705,-363546,NA"
2026-03-27T16:46:07,191346,191.346,0.702,,"191346,1897,1.529,0.702,-363905,NA"
2026-03-27T16:46:07,191486,191.486,0.704,,"191486,1897,1.529,0.704,-376139,NA"
2026-03-27T16:46:08,191606,191.606,0.705,,"191606,1897,1.529,0.705,-363518,NA"
2026-03-27T16:46:08,191706,191.706,0.707,,"191706,1897,1.529,0.707,-371830,NA"
2026-03-27T16:46:08,191826,191.826,0.704,,"191826,1897,1.529,0.704,-373050,NA"
2026-03-27T16:46:08,191966,191.966,0.701,,"191966,1897,1.529,0.701,-373178,NA"
2026-03-27T16:46:08,192066,192.066,0.701,,"192066,1897,1.529,0.701,-373274,NA"
2026-03-27T16:46:08,192166,192.166,0.703,,"192166,1897,1.529,0.703,-373704,NA"
2026-03-27T16:46:08,192266,192.266,0.7,,"192266,1896,1.529,0.700,-373945,NA"
2026-03-27T16:46:08,192386,192.386,0.697,,"192386,1896,1.529,0.697,-373962,NA"
2026-03-27T16:46:09,192526,192.526,0.696,,"192526,1896,1.529,0.696,-373706,NA"
2026-03-27T16:46:09,192626,192.626,0.695,,"192626,1896,1.528,0.695,-373548,NA"
2026-03-27T16:46:09,192726,192.726,0.696,,"192726,1896,1.529,0.696,-373694,NA"
2026-03-27T16:46:09,192826,192.826,0.695,,"192826,1896,1.529,0.695,-373562,NA"
2026-03-27T16:46:09,192946,192.946,0.695,,"192946,1896,1.528,0.695,-373586,NA"
2026-03-27T16:46:09,193086,193.086,0.693,,"193086,1896,1.528,0.693,-373997,NA"
